bridge_id,status,lat,lon,elev_m,region,bearing_deg,face_normal_deg,T_peak_max,T_surf_peak,T_top_peak,T_bot_peak,T_top_mean,T_bot_mean,max_vertical_gradient,mean_vertical_gradient,diurnal_range_top
U0525,ok,26.36326106,107.55218266,936.0,R2,128.2,218.2,44.75492972840135,44.75492972840135,31.750344401660215,30.47512111290107,25.574857111212808,25.33189410241374,1.9260435674856673,0.2429630087990673,8.85457871444348
U0530,ok,26.17854177,107.57338879,760.0,R2,115.3,205.3,45.829268567150436,45.829268567150436,33.541442311072494,31.20854529813182,26.698665185465714,26.314481822457036,2.7996644008994203,0.38418336300867734,9.642180452181229
U0532,ok,26.41751005,107.13406955,1063.0,R2,148.8,238.8,43.82931951930583,43.82931951930583,31.621573022295866,30.991597209138806,25.886433147854707,25.695238300960824,1.3927775499024513,0.19119484689388797,8.721455158831375
U0536,ok,26.1487894,107.6054589,733.0,R2,140.2,230.2,45.10634560246579,45.10634560246579,32.73054149816399,32.016915516737384,27.1338633860043,26.921710426091384,1.4300093718633526,0.21215295991292282,8.248456931977856
U0540,ok,26.6298943,106.8862517,1171.0,R2,108.3,198.3,45.570673063348636,45.570673063348636,34.501174102232135,30.587643652258347,26.555678559828287,25.981391625249135,3.9135304499737877,0.5742869345791518,11.32062254623871
U0542,ok,26.462997450000003,106.92126371666666,1123.0,R2,72.5,162.5,45.21679420346171,45.21679420346171,33.183598331362184,30.595542489119484,26.01438959629133,25.58598107223473,3.3004421123307566,0.42840852405659907,10.322303098320472
U0546,ok,26.38960765,107.110438375,1125.0,R2,5.3,95.3,43.89242503248064,43.89242503248064,31.677017358934897,31.467240917951212,26.222518571407726,26.107488709462324,1.1672061195506274,0.11502986194540706,8.360331658970772
U0552,ok,26.17899585,107.56794795,734.0,R2,122.1,212.1,45.611878987003784,45.611878987003784,32.913454088199714,31.212107360385616,26.619307648829203,26.2940509242601,2.3952685272665377,0.3252567245691068,9.03320096309055
U0554,ok,26.3627551,107.1767334,1056.0,R2,142.4,232.4,44.563261662284226,44.563261662284226,32.42228836161222,31.592767568582243,26.722947845010673,26.52584242833583,1.4574194168869923,0.19710541667484727,8.46249315988862
U0555,ok,26.1850191,107.558412875,768.0,R2,121.8,211.8,45.60096735820525,45.60096735820525,32.90505537664357,31.18570205749458,26.599143095993885,26.270973096917103,2.4139820250574466,0.3281699990767745,9.047286078777283
U0558,ok,26.47203325,106.97926825,1087.0,R2,92.3,182.3,44.630104544730244,44.630104544730244,35.20089385229929,31.065630907214697,26.96303954157621,26.32193812235435,4.586211944880024,0.6411014192218558,11.54309364470032
U0564,ok,26.356635725,107.184852175,1026.0,R2,139.7,229.7,44.641215693788986,44.641215693788986,32.490554463605214,31.568848824679048,26.726879226083,26.51893347054983,1.5007830111804346,0.20794575553317166,8.53561346484556
U0566,ok,26.3834339,106.8532915,1357.0,R2,129.9,219.9,46.32177461929145,46.32177461929145,33.302865529892266,31.86253570507925,27.14898386549811,26.8603218973374,1.976048565272901,0.28866196816071654,9.031458429232117
U0569,ok,26.40861506666667,107.13789313333332,1042.0,R2,153.9,243.9,44.12549069116393,44.12549069116393,31.937315668532534,31.422560005241394,26.28512409116711,26.10730895759808,1.3351844122762024,0.17781513356902937,8.6275031351318
U0572,ok,26.607022700000005,106.89655107272728,1117.0,R2,113.5,203.5,45.42050750785116,45.42050750785116,33.173556657402884,30.378085937605174,25.99299856617432,25.56117573184677,2.98807714871527,0.43182283432755014,10.342455186130298
U0574,ok,26.623535850000003,106.92246725,1213.0,R2,100.5,190.5,43.181409563020836,43.181409563020836,34.53873276953115,29.546015777304827,26.0904092599286,25.380274285905543,4.992716992226324,0.7101349740230511,11.792536488074958
U0577,ok,26.59836195,107.1873654,962.0,R2,103.2,193.2,43.13594838680947,43.13594838680947,34.7948523950162,30.076847645277166,26.437177617369795,25.791096362873066,5.470099216421012,0.6460812544967368,11.672469275899903
U0579,ok,26.192086433333333,107.51373136666666,764.0,R2,89.6,179.6,44.95292179636538,44.95292179636538,34.8624497118912,31.23690874281939,26.893126724443736,26.359517584270378,4.402928376304214,0.5336091401733515,10.84865548306589
U0582,ok,26.12596552307692,107.64518081538462,739.0,R2,84.3,174.3,46.32774884383337,46.32774884383337,35.167824886405796,32.54926333529263,27.992936039992898,27.49837268673496,3.834203233610168,0.49456335325793793,10.02908734659745
U0584,ok,26.2910531,107.407933325,892.0,R2,127.5,217.5,45.97079154236131,45.97079154236131,32.95973816845178,31.504549726495323,26.705189942560068,26.441741793787944,2.1274328241021188,0.2634481487721238,8.931022752523596
U0585,ok,25.99049096190476,107.10931831904762,897.0,R2,163.1,253.1,45.87320483840677,45.87320483840677,33.37855603093108,33.109903267291685,28.23023578946294,28.098108088635282,1.7138421939024866,0.13212770082766176,7.810326518978755
U0586,ok,26.15226095,107.60468213333336,748.0,R2,120.2,210.2,45.316675837382455,45.316675837382455,32.981109312215914,31.194617543497344,26.683459628607658,26.337560674651925,2.4015426367620947,0.34589895395573594,9.053717971110121
U0588,ok,26.1792357125,107.1611206975,792.0,R2,113.4,203.4,46.8177046474013,46.8177046474013,34.91873511208296,32.30836262645699,27.957453137137275,27.527085822615856,2.936721395118436,0.4303673145214153,9.936778278691321
U0587,ok,26.3677520125,107.1718705125,1036.0,R2,137.4,227.4,44.72555445865897,44.72555445865897,32.56661068468779,31.55879220065785,26.743783047440644,26.52555312807771,1.5715694108496585,0.2182299193629349,8.603071358101925
U0590,ok,26.203603033333334,107.50255041666668,848.0,R2,125.7,215.7,45.941757975570226,45.941757975570226,32.93080490979982,31.385694420744233,26.642356579470906,26.35809890935693,2.2315842740132403,0.28425767011397884,8.987441437790295
U0591,ok,26.560464075,107.12333879375,1078.0,R2,0.2,90.2,42.58080318070792,42.58080318070792,30.840111814581565,30.533815998749265,25.377894729372716,25.264586828493396,1.18789240576508,0.1133079008793239,8.356160831473055
U0592,ok,26.5550547,107.58357426666667,813.0,R2,112.4,202.4,45.822295173698194,45.822295173698194,34.219749123718586,31.24126013275402,26.87068553903446,26.398177045409483,3.1227124990561883,0.4725084936249766,10.493966679893788
U0593,ok,26.1908175125,107.4470769375,907.0,R2,92.0,182.0,43.86730116079885,43.86730116079885,34.17004460308829,30.14550569579974,25.896425253529248,25.33717101879908,4.84875072135052,0.5592542347301639,11.17255248356414
U0594,ok,26.375396596904764,107.10614607833332,1103.0,R2,12.3,102.3,43.90709736196305,43.90709736196305,31.732970700523325,31.474531331356975,26.23627095673306,26.11481250444623,1.2264170984465252,0.1214584522868308,8.409874062638693
U0595,ok,26.6086947,107.07648016666668,1142.0,R2,99.2,189.2,43.43661112573786,43.43661112573786,34.95966298497601,30.19744831060839,26.713646377455976,26.057577597583766,5.037655504040007,0.656068779872204,11.53824623147348
U0596,ok,26.19024605,107.432726775,916.0,R2,85.7,175.7,44.865932810308955,44.865932810308955,33.612526572594255,30.40798876977365,25.917806997117726,25.429456144142915,4.237790842544182,0.488350852974806,10.540459029533512
U0597,ok,26.36181012,107.1799545,1006.0,R2,140.1,230.1,44.62880706053573,44.62880706053573,32.479465814206186,31.572083941927186,26.72574635662677,26.51948978158241,1.4940295313967482,0.20625657504436445,8.52429211815327
